Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space
Shakira Jaisingh-Fluitsma,Chisholm & Gamon Elwood,$495 weekly,"7/46 Ormond Esplanade,",ELWOOD VIC 3184,1 Bed,1 Bath,1 Parking,N/A
HouseSmart Property Management Department,HouseSmart Real Estate Pty Ltd,$550 per week,"4K/45 King George Street,",VICTORIA PARK WA 6100,2 Beds,1 Bath,1 Parking,N/A
Chloe Conway,Performance Asset Management Melbourne,$470.00 per week,"16 Ellis Street,",FLORA HILL VIC 3550,3 Beds,1 Bath,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Certainty  Property Vic,Certainty Property,$270,"11 McCulloch Drive,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
Kim Te,Motion Property,$610 Per Week,"801/5 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,N/A
Danielle Ryan,The Core Advisory Team VIC,$750pw,"13/299 Dandenong Road,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,N/A
Certainty  Property Vic,Certainty Property,$200,"2 Caspian Court,",NEWBOROUGH VIC 3825,1 Bed,1 Bath,− Parking,N/A
Prasheeta Kuver,Wilson Glen Eira PTY LTD,$320 per week,"6/23 Bendigo Avenue,",ELWOOD VIC 3184,1 Bed,1 Bath,− Parking,N/A
Certainty  Property Vic,Certainty Property,$450,"114 Anniversary Avenue,",WYNDHAM VALE VIC 3024,4 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Liam Mulligan,BigginScott Richmond,$365 weekly,"3/19 Bendigo St,",COLLINGWOOD VIC 3066,1 Bed,1 Bath,1 Parking,N/A
Shakira Jaisingh-Fluitsma,Chisholm & Gamon Elwood,$495 weekly,"7/46 Ormond Esplanade,",ELWOOD VIC 3184,1 Bed,1 Bath,1 Parking,N/A
