Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
,,LEASED,"16 Flinders Street,",QUEENSCLIFF VIC 3225,3 Beds,1 Bath,2 Parking,,geelong-vic,-38.2714916,144.654042
,,$560 per week,"33 Currong Street South,",REID ACT 2612,2 Beds,1 Bath,1 Parking,"2,497m²",geelong-vic,-35.2839691,149.1432609
,,$800.00,"6 Hawkins Road,",MONTROSE VIC 3765,5 Beds,2 Baths,− Parking,,geelong-vic,-37.8009117,145.3660596
,,$550/w & Furnished Available Now,"4502/80 A'Beckett Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,geelong-vic,-37.814,144.9633
,,$480 weekly,"19-21 Trinity Way,",ARMSTRONG CREEK VIC 3217,3 Beds,2 Baths,2 Parking,,geelong-vic,-38.2337982,144.370604
,,$550,"8 Carisbrook St,",ARMSTRONG CREEK VIC 3217,4 Beds,2 Baths,2 Parking,,geelong-vic,-38.2245552,144.3544534
,,$595,"804/333 Exhibition Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,geelong-vic,-37.8072513,144.9689086
,,$550 weekly,"7 Companion St,",MOUNT DUNEED VIC 3217,4 Beds,2 Baths,2 Parking,,geelong-vic,-38.2583,144.3083
,,$550 weekly,"9 Companion St,",MOUNT DUNEED VIC 3217,4 Beds,2 Baths,2 Parking,,geelong-vic,-38.2583,144.3083
,,$550 per week,"18 Milos Court,",FRASER RISE VIC 3336,4 Beds,2 Baths,2 Parking,,geelong-vic,-37.7139202,144.7191744
,,$450,"10 Mccoy Street,",OMEO VIC 3898,3 Beds,1 Bath,3 Parking,,geelong-vic,-37.1097623,147.596471
,,$925/week,"2512/138 Spencer Street,",MELBOURNE VIC 3000,2 Beds,2 Baths,− Parking,,geelong-vic,-37.814,144.9633
,,$510 weekly,"68 Fairy Street,",BELL POST HILL VIC 3215,3 Beds,1 Bath,2 Parking,,geelong-vic,-38.1042,144.3304632
,,$540 weekly,"48B Drysdale Avenue,",HAMLYN HEIGHTS VIC 3215,3 Beds,2 Baths,2 Parking,,geelong-vic,-38.1235407,144.3264857
,,$450,"63 Vistula Av,",BELL PARK VIC 3215,3 Beds,2 Baths,1 Parking,,geelong-vic,-38.1154116,144.3390282
,,$300 weekly,"1/110 West Fyans St,",NEWTOWN VIC 3220,1 Bed,1 Bath,− Parking,,geelong-vic,-38.1598527,144.3472535
,,$570 weekly,"1501/63 Haig St,",SOUTHBANK VIC 3006,2 Beds,1 Bath,1 Parking,,geelong-vic,-37.8228,144.9643
