agent_name,agent_company,price,address1,address2,bed,bath,parking,floor_space,longitude,latitude
Lachlan Sylvia,Ballarat Real Estate,"$480,000 - $520,000","12 Recreation Road,",MOUNT CLEAR VIC 3350,3 Beds,1 Bath,2 Parking,611m²,143.8691599,-37.6036722
Andrew Murphy,Bendigo Ballarat Real Estate,"$400,000 - $430,000","30 Blue Gum Drive,",STRATHDALE VIC 3550,2 Beds,1 Bath,1 Parking,318m²,144.3192243,-36.7774628
Andrew Murphy,Bendigo Ballarat Real Estate,"$600,000 - $650,000","15 Goldsmiths Road,",EAGLEHAWK VIC 3556,3 Beds,1 Bath,2 Parking,"4,331m²",144.268601,-36.7013
Simon Bogdanov,Oslo Property,"$1,495,000 - $1,625,000","58 Zeally Bay Road,",TORQUAY VIC 3228,3 Beds,1 Bath,2 Parking,570m²,144.3226794,-38.3304456
Alex Stepnell,Ballarat Real Estate,"$220,000 - $235,000","6/47 Yarrowee Street,",REDAN VIC 3350,1 Bed,1 Bath,1 Parking,74m²,143.8429766,-37.59274
Manny Gonzalez,Elders Real Estate Albury Wodonga & Howlong,"$559,000","29 Murphy Street,",WODONGA VIC 3690,4 Beds,2 Baths,2 Parking,874m²,146.878548,-36.121154
Will Munro,Ray White Ballarat,"$350,000 - $385,000","5 Exchange Street,",NEWINGTON VIC 3350,3 Beds,1 Bath,2 Parking,650m²,143.83238465,-37.564483499999994
Toby Gray,Bendigo Real Estate,"$640,000 - $670,000","3 Giudice Street,",KANGAROO FLAT VIC 3555,5 Beds,3 Baths,3 Parking,798m²,144.2375475,-36.7872494
James Worssam,Great Ocean Road Real Estate Aireys Inlet,"$960,000 - $1,050,000","22 Great Ocean Road,",AIREYS INLET VIC 3231,3 Beds,1 Bath,2 Parking,482m²,144.0943026,-38.4648692
Celeste Vasile,Acton | Belle Property South Perth & Victoria Park,Expressions of Interest,"3/37 Butler Lane,",EAST VICTORIA PARK WA 6101,3 Beds,1 Bath,2 Parking,188m²,115.9046419,-31.9790017
Andrew Brown,Surf Coast Real Estate,"$865,000","3/43 Murray Street,",ANGLESEA VIC 3230,3 Beds,1 Bath,1 Parking,252m²,144.1835369,-38.411433
Beverley Higgs,RT Edgar Macedon Ranges,"$1,550,000 - $1,600,000","669 Sandy Creek,",RIDDELLS CREEK VIC 3431,4 Beds,2 Baths,4 Parking,4.17ha,144.6564482,-37.4213826
Matt Lancashire,Ray White New Farm,Auction,"195 Gregory Terrace,",SPRING HILL QLD 4000,4 Beds,3 Baths,3 Parking,460m²,153.0227691,-27.4586716
Kerryn Wildenburg,Jellis Craig Woodend,"$1,475,000 - $1,575,000","106 Boundary Road,",WOODEND VIC 3442,6 Beds,3 Baths,2 Parking,1.62ha,144.5553267,-37.3503202
Nathanial Briggs,Ray White Kyneton,"$1,275,000","9 Halpern Road,",WOODEND VIC 3442,4 Beds,2 Baths,4 Parking,"20,234m²",144.4951062,-37.3765252
Nathanial Briggs,Ray White Kyneton,"$835,000 - $875,000","2A Wright Street,",ELPHINSTONE VIC 3448,3 Beds,1 Bath,4 Parking,"6,326m²",144.3322991,-37.1016492
Tash Guinea,Ray White Ballarat,"$530,000 - $560,000","19 Beartooth Drive,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,375m²,143.7962219,-37.5881163
Rahul Goyal,Ray White Albury Central,"$529,000 - $549,000","31 Edinburgh Circuit,",WEST WODONGA VIC 3690,3 Beds,1 Bath,2 Parking,725m²,146.8606923,-36.1178805
Kim McQueen,McQueen Real Estate,"$1,150,000- $1,250,000","11 Tenth Street,",HEPBURN SPRINGS VIC 3461,3 Beds,2 Baths,2 Parking,"1,264m²",144.137449,-37.3117024
Tristan Wright,Elders Real Estate Albury Wodonga & Howlong,"$410,000","9 Cooper Court,",RUTHERGLEN VIC 3685,3 Beds,1 Bath,1 Parking,727m²,146.4671982,-36.0596518
Jamie Maynard,Elders Real Estate Albury Wodonga & Howlong,"$630,000","28 Bradbury Lane,",BARANDUDA VIC 3691,4 Beds,2 Baths,2 Parking,462m²,146.9378888,-36.1805471
Mikaela Gould,Stean Nicholls Real Estate,Expressions of Interest Closing 3rd Oct at 12noon,"40 Clarendon Avenue,",WODONGA VIC 3690,6 Beds,3 Baths,3 Parking,"3,082m²",146.869637,-36.1486372
Narenna Bloomfield,Broadhurst Property,"$1,000,000 - $1,100,000","462 Zig Zag Road,",DRUMMOND NORTH VIC 3446,3 Beds,1 Bath,4 Parking,"159,600m²",144.3411663,-37.2024229
Natarsha Sewell,First National Real Estate Bonnici & Associates,"$649,000","8 Hook Court,",WODONGA VIC 3690,4 Beds,2 Baths,2 Parking,660m²,146.8442775,-36.1171703
Terry Hill,Professionals Wodonga,"$559,000","378 Lawrence Street,",WODONGA VIC 3690,3 Beds,2 Baths,2 Parking,651m²,146.87344,-36.1224217
Kirrily Evans,Evans Realty Group,"$1,270,000 - $1,320,000","7 Glenton Court,",GISBORNE VIC 3437,4 Beds,2 Baths,2 Parking,"1,752m²",144.586342,-37.5032661
Bawa Singh,Buxton Bendigo,"$530,000 - $570,000","1/100 St Aidans Road,",KENNINGTON VIC 3550,3 Beds,2 Baths,1 Parking,360m²,144.3031028,-36.7648753
Giovanni Piazza,Ray White Ballarat,"$360,000 - $395,000","1322 Geelong Road,",MOUNT CLEAR VIC 3350,2 Beds,1 Bath,1 Parking,470m²,143.8701046,-37.6104821
Jeanette Laffan,Nutrien Harcourts Kilmore,"$1,120,000 to $1,160,000","3243 Epping-Kilmore Road,",WANDONG VIC 3758,4 Beds,2 Baths,2 Parking,"4,000m²",145.0211204,-37.3506017
Carmen Christie,First National Warragul,"$960,000","97 Victoria Street,",WARRAGUL VIC 3820,4 Beds,2 Baths,3 Parking,405m²,145.9305491,-38.1579479
Kellie Saddington,Soulful Living Real Estate,"$1,685,000","172 Melba Parade,",ANGLESEA VIC 3230,4 Beds,2 Baths,1 Parking,604m²,144.1781285,-38.4260376
Agnes Gaspar,My Place Real Estate,"$549,000 to $569,000","A/13 Victoria Street,",ROCKINGHAM WA 6168,2 Beds,1 Bath,1 Parking,382m²,115.7403918,-32.2697749
Jamie Maynard,Elders Real Estate Albury Wodonga & Howlong,"$635,000","17 Valerian Terrace,",BARANDUDA VIC 3691,4 Beds,2 Baths,− Parking,716m²,146.9492719,-36.1845422
Ayman Al-Omar,CENTURY 21 SOUTHWEST FAIRFIELD,CONTACT AGENT,"117 Victoria Street,",SMITHFIELD NSW 2164,8 Beds,4 Baths,2 Parking,556m²,150.934937,-33.8506651
Michael Brooks,McKean McGregor Real Estate Pty Ltd,"$580,000 - $610,000","49 Yellowgum Drive,",EPSOM VIC 3551,4 Beds,2 Baths,2 Parking,527m²,144.3261356,-36.6907154
Michael Brooks,McKean McGregor Real Estate Pty Ltd,"$830,000 - $850,000","22 Olinda Street,",QUARRY HILL VIC 3550,4 Beds,2 Baths,1 Parking,688m²,144.2792014,-36.770476
Lisa Fowler,Mount Macedon Realty,Contact Agent,"7 Misty View Court,",GISBORNE VIC 3437,6 Beds,4 Baths,6 Parking,1.39ha,144.634699,-37.5005271
Ben Knight,Harcourts Solutions Group,For Sale,"2/25 Victoria Terrace,",GORDON PARK QLD 4031,2 Beds,1 Bath,1 Parking,116m²,153.0252009,-27.4127117
James Waterhouse,Ballarat Real Estate,"$485,000 - $525,000","5 Killeen Avenue,",BLACK HILL VIC 3350,3 Beds,1 Bath,1 Parking,708m²,143.8679454,-37.5455547
Leon Kowski,PJ Murphy Real Estate,"$579,000","17 Bassett Street,",WODONGA VIC 3690,3 Beds,2 Baths,2 Parking,372m²,146.8857647,-36.1302957
Lara Walsh,PJ Murphy Real Estate,"$449,000 - $469,000","6 Jason Circuit,",WODONGA VIC 3690,3 Beds,1 Bath,1 Parking,675m²,146.8520004,-36.1224439
Narenna Bloomfield,Broadhurst Property,"$850,000 - $925,000","22 Metcalfe Redesdale Road,",METCALFE VIC 3448,3 Beds,2 Baths,6 Parking,"40,500m²",144.422535,-37.0985999
