Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space
HouseSmart Property Management Department,HouseSmart Real Estate Pty Ltd,$550 per week,"4K/45 King George Street,",VICTORIA PARK WA 6100,2 Beds,1 Bath,1 Parking,N/A
Certainty  Property Vic,Certainty Property,$270,"11 McCulloch Drive,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kim Te,Motion Property,$610 Per Week,"801/5 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,N/A
Danielle Ryan,The Core Advisory Team VIC,$750pw,"13/299 Dandenong Road,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,N/A
Certainty  Property Vic,Certainty Property,$200,"2 Caspian Court,",NEWBOROUGH VIC 3825,1 Bed,1 Bath,− Parking,N/A
Certainty  Property Vic,Certainty Property,$450,"114 Anniversary Avenue,",WYNDHAM VALE VIC 3024,4 Beds,2 Baths,2 Parking,N/A
Certainty  Property Vic,Certainty Property,$275,"16 Astral Walk,",WOLLERT VIC 3750,1 Bed,1 Bath,− Parking,N/A
Certainty  Property Vic,Certainty Property,$240,"6 Songlark Street,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kim Te,Motion Property,$590 per week,"1002/1 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,N/A
Evelyne Surja,Kay & Burton Stonnington,$1695 Per Week,"2 Rathmines Street,",TOORAK VIC 3142,3 Beds,2 Baths,2 Parking,N/A
Certainty  Property Vic,Certainty Property,$250,"17 Oakhill Terrace,",CHURCHILL VIC 3842,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Casey Blaine,N/A,FULLY FURNISHED - $420 PER WEEK,"5/8 Dale St,",KENNINGTON VIC 3550,1 Bed,1 Bath,1 Parking,N/A
