Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space
Daniel Hamilton,McGrath,$525 pw,"5/95 Osborne Street,",SOUTH YARRA VIC 3141,1 Bed,1 Bath,1 Parking,N/A
Daniel Hamilton,McGrath,$565 pw,"202/92 Kinkora Road,",HAWTHORN VIC 3122,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daniel Hamilton,McGrath,Contact Agent,"5/23-25 Raleigh Street,",MALVERN VIC 3144,2 Beds,1 Bath,1 Parking,N/A
Shahaf Pat,Gefen Group,$1450 per week,"2, 18-20/2, 18-20 Hamilton St,",ROSE BAY NSW 2029,2 Beds,2 Baths,1 Parking,N/A
Daniel Hamilton,McGrath,$450 pw,"1306/52 Park Street,",SOUTH MELBOURNE VIC 3205,1 Bed,1 Bath,− Parking,N/A
HouseSmart Property Management Department,HouseSmart Real Estate Pty Ltd,$550 per week,"4K/45 King George Street,",VICTORIA PARK WA 6100,2 Beds,1 Bath,1 Parking,N/A
Daniel Hamilton,McGrath,$425 pw,"3/7 Adam Street,",BURNLEY VIC 3121,1 Bed,1 Bath,1 Parking,N/A
Certainty  Property Vic,Certainty Property,$270,"11 McCulloch Drive,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daniel Hamilton,McGrath,$420 pw,"15/1-15 Beddison Road,",CRAIGIEBURN VIC 3064,2 Beds,1 Bath,1 Parking,N/A
Kim Te,Motion Property,$610 Per Week,"801/5 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,N/A
Daniel Hamilton,McGrath,$435 pw,"2/158 Williams Road,",PRAHRAN VIC 3181,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Branden Charge,Belle Property Hunter Region,$690 per week,"14 McGann Drive,",NORTH ROTHBURY NSW 2335,4 Beds,2 Baths,2 Parking,431m²
Branden Charge,Belle Property Hunter Region,$420 per week,"35/8 Steam Street,",MAITLAND NSW 2320,1 Bed,1 Bath,1 Parking,N/A
Hayley Dare,MOVABLE,$520 Per Week,"106/11 Fern Street,",ISLINGTON NSW 2296,1 Bed,1 Bath,1 Parking,N/A
Daniel Hamilton,McGrath,$440 pw,"9/53 Batman Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,N/A
Danielle Ryan,The Core Advisory Team VIC,$750pw,"13/299 Dandenong Road,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,N/A
Certainty  Property Vic,Certainty Property,$200,"2 Caspian Court,",NEWBOROUGH VIC 3825,1 Bed,1 Bath,− Parking,N/A
Daniel Hamilton,McGrath,$525 pw,"266/183 City Road,",SOUTHBANK VIC 3006,1 Bed,1 Bath,− Parking,N/A
Daniel Hamilton,McGrath,$550 pw Furnished,"1210/8 Marmion Place,",DOCKLANDS VIC 3008,1 Bed,1 Bath,1 Parking,N/A
Daniel Hamilton,McGrath,$325 pw Furnished,"28/38 Charnwood Road,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,N/A
Daniel Hamilton,McGrath,$515 pw,"321/20 Shamrock Street,",ABBOTSFORD VIC 3067,2 Beds,1 Bath,− Parking,N/A
Daniel Hamilton,McGrath,$560 pw,"56/416 St Kilda Road,",MELBOURNE VIC 3004,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daniel Hamilton,McGrath,$625 pw,"1/16 Fawcett Street,",SUNSHINE NORTH VIC 3020,3 Beds,2 Baths,2 Parking,213m²
Certainty  Property Vic,Certainty Property,$450,"114 Anniversary Avenue,",WYNDHAM VALE VIC 3024,4 Beds,2 Baths,2 Parking,N/A
Certainty  Property Vic,Certainty Property,$275,"16 Astral Walk,",WOLLERT VIC 3750,1 Bed,1 Bath,− Parking,N/A
Matthew Karatau,Signum Property Agents,"$2,200 per week","5 Hooker Street,",WINDSOR QLD 4030,6 Beds,5 Baths,4 Parking,N/A
Alana Rossi,AUMR Property Group - Ascot,$1425 per week,"19 Sparkes Avenue,",HAMILTON QLD 4007,4 Beds,2 Baths,2 Parking,N/A
Georgia Hauser,Belle Property Ascot,$700.00 pw,"Level 6, 50602/37B Harbour Road,",HAMILTON QLD 4007,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lisa Barraclough,Stean Nicholls Real Estate,$590 per week,"303/425 David Street,",ALBURY NSW 2640,2 Beds,2 Baths,1 Parking,N/A
Chloe Hamilton,Belle Property Hunter Region,$495 per week,"1/22 Glen Ayr Avenue,",CLIFTLEIGH NSW 2321,2 Beds,1 Bath,2 Parking,N/A
Daniel Hamilton,McGrath,$440 pw,"11/63 Edgar Street North,",GLEN IRIS VIC 3146,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daniel Hamilton,McGrath,$675 pw,"7 Rothsay Avenue,",BURWOOD VIC 3125,3 Beds,1 Bath,3 Parking,N/A
Daniel Hamilton,McGrath,$410 pw,"5/87a Clyde Street,",THORNBURY VIC 3071,1 Bed,1 Bath,1 Parking,N/A
Certainty  Property Vic,Certainty Property,$240,"6 Songlark Street,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
Daniel Hamilton,McGrath,$530 pw,"201/11 Hoddle Street,",COLLINGWOOD VIC 3066,1 Bed,1 Bath,1 Parking,N/A
Daniel Hamilton,McGrath,$780 pw,"1002/582 St Kilda Road,",MELBOURNE VIC 3004,2 Beds,2 Baths,1 Parking,N/A
Kim Te,Motion Property,$590 per week,"1002/1 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,N/A
Daniel Hamilton,McGrath,$490 pw,"4/68 Westbury Street,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,− Parking,N/A
Daniel Hamilton,McGrath,$350 pw,"10/12 Rosedale Avenue,",GLEN HUNTLY VIC 3163,1 Bed,1 Bath,1 Parking,N/A
Daniel Hamilton,McGrath,$510 pw,"11/31-31A George Street,",FITZROY VIC 3065,1 Bed,1 Bath,1 Parking,N/A
Evelyne Surja,Kay & Burton Stonnington,$1695 Per Week,"2 Rathmines Street,",TOORAK VIC 3142,3 Beds,2 Baths,2 Parking,N/A
Michelle Retschlag,Living Here Cush Partners,$695 per week,"7 Carbeen Street,",BULIMBA QLD 4171,3 Beds,1 Bath,2 Parking,405m²
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Certainty  Property Vic,Certainty Property,$250,"17 Oakhill Terrace,",CHURCHILL VIC 3842,1 Bed,1 Bath,1 Parking,N/A
Daniel Hamilton,McGrath,$975 pw,"20 Patrick Close,",GREENSBOROUGH VIC 3088,5 Beds,3 Baths,2 Parking,N/A
Daniel Hamilton,McGrath,$750 pw,"121 Herbert Street,",NORTHCOTE VIC 3070,3 Beds,2 Baths,1 Parking,N/A
Daniel Hamilton,McGrath,$285 pw,"4/631 Punt Road,",SOUTH YARRA VIC 3141,− 0 Beds,1 Bath,− Parking,N/A
Karen Tannock,MOVABLE,$720 Per Week,"111 Denison Street,",HAMILTON NSW 2303,2 Beds,1 Bath,1 Parking,N/A
Amanda Butler,Butler+Co Estate Agents,"$1,100 pw","Level 4, C/11 Hillside Crescent,",HAMILTON QLD 4007,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GC City,Ray White Surfers Paradise,$720,"406/9 Hamilton,",SURFERS PARADISE QLD 4217,1 Bed,1 Bath,1 Parking,N/A
Laura Hamilton,N/A,$680.00 per week,"10 Atkins Crescent,",HOBARTVILLE NSW 2753,3 Beds,1 Bath,2 Parking,N/A
Casey Blaine,N/A,FULLY FURNISHED - $420 PER WEEK,"5/8 Dale St,",KENNINGTON VIC 3550,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$580,"21 Manchado Street,",TARNEIT VIC 3029,4 Beds,2 Baths,2 Parking,N/A
,N/A,Deposit taken,"1 Hamilton Crescent,",RYDE NSW 2112,1 Bed,1 Bath,1 Parking,N/A
,N/A,$700 Per Week,"102 Wattle Street,",BENDIGO VIC 3550,3 Beds,3 Baths,2 Parking,N/A
,N/A,$450 pw,"10/54 Rockley Road,",SOUTH YARRA VIC 3141,1 Bed,1 Bath,1 Parking,N/A
,N/A,$700 pw,"501/109 York Street,",SOUTH MELBOURNE VIC 3205,2 Beds,2 Baths,1 Parking,N/A
,N/A,$450 pw,"9/403 Toorak Road,",SOUTH YARRA VIC 3141,1 Bed,1 Bath,1 Parking,N/A
,N/A,$240,"63 Pintail Drive,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
,N/A,$250,"8 Jacobena Road,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
,N/A,$795 weekly,"24 Trafalgar Street,",MONT ALBERT VIC 3127,4 Beds,2 Baths,2 Parking,N/A
,N/A,$570 per week,"110 Paterson Road,",BOLWARRA NSW 2320,3 Beds,1 Bath,1 Parking,N/A
,N/A,$400 Furnished pw,"27/63 Alexandra Avenue,",SOUTH YARRA VIC 3141,− 0 Beds,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$730 Parkside living Highspeed unlimited WiFi PetFriendly,"224/109 Manningham St,",PARKVILLE VIC 3052,1 Bed,1 Bath,1 Parking,N/A
,N/A,$665 Parkside living Highspeed unlimited WiFi PetFriendly,"225/109 Manningham St,",PARKVILLE VIC 3052,2 Beds,2 Baths,1 Parking,N/A
,N/A,$750 per week Parkside living Highspeed unlimited WiFi PetFriendly,"403/109 Manningham St,",PARKVILLE VIC 3052,2 Beds,2 Baths,1 Parking,N/A
,N/A,$950 Parkside living Highspeed unlimited WiFi PetFriendly,"607/109 109 Manningham St,",PARKVILLE VIC 3052,2 Beds,2 Baths,1 Parking,N/A
,N/A,"$1,250 pw","9 Everton Street,",HAMILTON EAST NSW 2303,3 Beds,1 Bath,2 Parking,N/A
,N/A,$610 pw,"1905/8 Downie Street,",MELBOURNE VIC 3000,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,"$1,250 pw","602/454 St Kilda Road,",MELBOURNE VIC 3004,3 Beds,2 Baths,2 Parking,N/A
,N/A,$610 pw,"806/673 Latrobe Street,",DOCKLANDS VIC 3008,2 Beds,2 Baths,1 Parking,N/A
,N/A,$670 Parkside living Highspeed unlimited WiFi PetFriendly,"121 109 Manningham St,",PARKVILLE VIC 3052,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$595 - $596 per week,,$595 - $596 per week,"33 Currong Street,",REID ACT 2612,2 Beds,1 Bath,1 Parking,N/A
,N/A,$380 per week,"7/19 Mannikan Court,",BAKEWELL NT 0832,2 Beds,1 Bath,2 Parking,N/A
,N/A,$600 pw,"6a Bates Street,",HAMILTON NORTH NSW 2292,2 Beds,1 Bath,2 Parking,N/A
,N/A,$730,"33/37C Harbour Rd HAMILTON,",HAMILTON QLD 4007,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,$585 per week,"3/80 Racecourse Road,",HAMILTON QLD 4007,2 Beds,2 Baths,1 Parking,N/A
,N/A,"$1,575 PER WEEK","14 Mildara Place,",WEST PENNANT HILLS NSW 2125,4 Beds,3 Baths,3 Parking,N/A
,N/A,$520 per week,"4/40 Rossiter Parade,",HAMILTON QLD 4007,2 Beds,1 Bath,1 Parking,N/A
,N/A,$750,"27 Capitol Drive,",JINDALEE QLD 4074,4 Beds,2 Baths,2 Parking,766m²
,N/A,$510 per week,"207/6 Leicester Street,",CARLTON VIC 3053,1 Bed,1 Bath,− Parking,N/A
,N/A,$450 per week,"Unit 1113/6 Leicester St,",CARLTON VIC 3053,1 Bed,1 Bath,− Parking,N/A
,N/A,$725 per week,"3/462 Como Parade West,",MORDIALLOC VIC 3195,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$700,"C5903/16 Constitution Road,",RYDE NSW 2112,1 Bed,1 Bath,1 Parking,62m²
,N/A,$420 Per Week,"94 Powerscourt Street,",MAFFRA VIC 3860,3 Beds,1 Bath,1 Parking,N/A
,N/A,$250 per week,N/A,WILLIAMSTOWN VIC 3016,6 Beds,3 Baths,− Parking,N/A
,N/A,$700.00,"505/300 Swanston Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,1 Parking,N/A
,N/A,$670 per week,"30 Healey Drive,",EPPING VIC 3076,5 Beds,2 Baths,8 Parking,500m²
,N/A,$950 Per Week,"7/398 Elgar Road,",BOX HILL VIC 3128,4 Beds,4 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$600,"204/150 Great Eastern Highway,",ASCOT WA 6104,1 Bed,1 Bath,1 Parking,N/A
,N/A,$650 Per Week,"7/2-8 Palmerston Street,",ST JAMES WA 6102,3 Beds,1 Bath,1 Parking,N/A
,N/A,$800,"6/1 Hamilton Street,",ALLAWAH NSW 2218,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$770,"57/37C Harbour Rd HAMILTON,",HAMILTON QLD 4007,1 Bed,1 Bath,1 Parking,N/A
,N/A,$750 per week,"4/44 Jackson Street,",HAMILTON QLD 4007,2 Beds,2 Baths,1 Parking,N/A
,N/A,$700 weekly,"3 Timor Cl,",BURWOOD VIC 3125,3 Beds,2 Baths,2 Parking,N/A
,N/A,$780 per week,"5/48 Oxley Rd,",HAWTHORN VIC 3122,3 Beds,2 Baths,2 Parking,N/A
,N/A,"$1,100","10 Portland Street,",NEDLANDS WA 6009,3 Beds,2 Baths,2 Parking,N/A
,N/A,$355 per week,"239/386 Burwood Highway,",BURWOOD VIC 3125,1 Bed,1 Bath,− Parking,N/A
,N/A,$390 Per Week,"2/25 Merry Street,",MAFFRA VIC 3860,2 Beds,1 Bath,1 Parking,N/A
,N/A,$850 weekly,"2004/103 South Wharf Drive,",DOCKLANDS VIC 3008,2 Beds,2 Baths,1 Parking,N/A
,N/A,$400 weekly,"3/15 Tallis Street,",NORLANE VIC 3214,2 Beds,2 Baths,1 Parking,N/A
,N/A,$500.00,"2/42 Raleigh Road,",MARIBYRNONG VIC 3032,2 Beds,1 Bath,1 Parking,N/A
,N/A,$770,"10612/320 Macarthur Avenue,",HAMILTON QLD 4007,2 Beds,2 Baths,1 Parking,94m²
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$870,"12/37D Harbour Rd,",HAMILTON QLD 4007,2 Beds,2 Baths,2 Parking,N/A
,N/A,$660 Light n Bright,"ID:21141030/2 Harbour Road,",HAMILTON QLD 4007,2 Beds,1 Bath,1 Parking,N/A
,N/A,$550,"21 Fifth Avenue,",ALTONA NORTH VIC 3025,3 Beds,1 Bath,1 Parking,N/A
,N/A,$620 Huge Apt,"ID:21141025/2 Harbour Road,",HAMILTON QLD 4007,1 Bed,1 Bath,1 Parking,N/A
,N/A,$425 Per Week,"177B Dudley Road,",WHITEBRIDGE NSW 2290,2 Beds,1 Bath,− Parking,N/A
