SA2,SA2 NAME,2016-17Median ($),2017-18Median ($),2018-19Median ($),2019-20Median ($),2020-21Median ($),2016-17Mean ($),2017-18Mean ($),2018-19Mean ($),2019-20Mean ($),2020-21Mean ($)
Australia,," 48,083 "," 49,805 "," 51,389 "," 52,338 "," 54,890 "," 63,508 "," 64,247 "," 65,954 "," 67,255 "," 70,522 "
Victoria,," 47,457 "," 49,266 "," 51,027 "," 51,996 "," 54,008 "," 62,354 "," 63,432 "," 65,368 "," 66,660 "," 69,694 "
201011001,Alfredton," 50,596 "," 52,448 "," 53,932 "," 55,204 "," 58,036 "," 60,937 "," 62,343 "," 63,731 "," 65,781 "," 69,111 "
201011002,Ballarat," 50,093 "," 51,736 "," 53,688 "," 53,784 "," 55,998 "," 72,750 "," 74,917 "," 77,952 "," 78,498 "," 83,800 "
201011005,Buninyong," 48,877 "," 51,034 "," 52,377 "," 54,308 "," 56,408 "," 61,067 "," 61,593 "," 63,338 "," 64,381 "," 67,558 "
201011006,Delacombe," 46,176 "," 47,759 "," 49,909 "," 51,915 "," 52,792 "," 51,945 "," 52,206 "," 54,872 "," 56,188 "," 58,548 "
201011007,Smythes Creek," 48,250 "," 49,822 "," 53,154 "," 53,981 "," 57,516 "," 55,030 "," 56,121 "," 59,737 "," 61,244 "," 65,068 "
201011008,Wendouree - Miners Rest," 42,652 "," 45,002 "," 46,287 "," 47,627 "," 49,076 "," 49,190 "," 49,080 "," 50,414 "," 52,366 "," 54,582 "
201011481,Ballarat East - Warrenheip," 42,853 "," 44,993 "," 47,211 "," 48,263 "," 49,157 "," 51,378 "," 51,290 "," 53,808 "," 55,725 "," 57,146 "
201011482,Ballarat North - Invermay," 48,670 "," 52,123 "," 53,029 "," 55,042 "," 56,755 "," 60,798 "," 65,066 "," 64,209 "," 65,802 "," 69,414 "
201011483,Canadian - Mount Clear," 43,944 "," 46,025 "," 47,887 "," 48,536 "," 50,350 "," 52,474 "," 52,472 "," 54,355 "," 55,406 "," 58,142 "
201011484,Sebastopol - Redan," 40,908 "," 42,941 "," 44,037 "," 45,870 "," 46,895 "," 46,001 "," 45,434 "," 47,028 "," 49,090 "," 50,224 "
201021009,Bacchus Marsh Surrounds," 48,442 "," 50,002 "," 52,033 "," 53,942 "," 55,392 "," 58,234 "," 66,193 "," 61,574 "," 63,606 "," 65,385 "
201021010,Creswick - Clunes," 40,000 "," 41,021 "," 43,736 "," 44,642 "," 47,227 "," 51,477 "," 51,843 "," 52,250 "," 54,512 "," 56,341 "
201021011,Daylesford," 36,737 "," 38,686 "," 40,825 "," 41,806 "," 44,861 "," 50,082 "," 50,419 "," 52,039 "," 55,962 "," 61,564 "
