Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space
Contact Office,LJ Hooker Taree,From $260,"146 Manning River Drive ""Twilight Caravan Park"",",TAREE NSW 2430,1 Bed,1 Bath,1 Parking,N/A
Parisa Noubakht,Illustrated Properties,$700 per week,"24/39 Woodberry Avenue,",COOMBS ACT 2611,3 Beds,2 Baths,2 Parking,N/A
Leasing Team,RUIZ PROPERTY,$460 pw,"614/220 Melrose Drive,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Simon Hourcade,Belle Property Bondi Junction,$540.00 per week,"12/145-161 Abercrombie Street,",DARLINGTON NSW 2330,− 0 Beds,1 Bath,− Parking,N/A
Rentals Team,New Door Properties,$650 per week,"16 Aurora Close,",MAWSON ACT 2607,3 Beds,1 Bath,2 Parking,N/A
Matthew Findley,Ray White Canberra,$800,"1/5 Dawson Street,",CURTIN ACT 2605,3 Beds,2 Baths,2 Parking,N/A
Kaitlyn Taylor,Luton Properties - Kippax,$550 pw,"609/49 Furzer Street,",PHILLIP ACT 2606,2 Beds,1 Bath,1 Parking,N/A
Kim Te,Motion Property,$480 per week,"106C/1 O'Shannassy Street,",ESSENDON NORTH VIC 3041,1 Bed,1 Bath,1 Parking,N/A
Property Management,Blackshaw Gungahlin,$500 per week,"58/53 Holborow Avenue,",DENMAN PROSPECT ACT 2611,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Katelin Currell,Living Here Cush Partners,"$1,400","4/24 Wandoo Street,",FORTITUDE VALLEY QLD 4006,3 Beds,3 Baths,2 Parking,N/A
Pratish Rijal,City Homes Canberra,$700 per week,"14 85 Holborow Avenue,",DENMAN PROSPECT ACT 2611,3 Beds,3 Baths,1 Parking,N/A
Katelin Currell,Living Here Cush Partners,$745,"412/78 Arthur Street,",FORTITUDE VALLEY QLD 4006,2 Beds,2 Baths,1 Parking,N/A
