Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region
Tom Koller,Biggin & Scott Stonnington,$750 Per Week,"1/1 York Place,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
,,,,,,,,,melbourne-vic
,,,,,,,,,melbourne-vic
Angus Brayshaw,Richardson & Wrench Projects Victoria,$700 per week,"5/380 Saint Georges Road,",FITZROY NORTH VIC 3068,2 Beds,2 Baths,1 Parking,,melbourne-vic
Angus Brayshaw,Richardson & Wrench Projects Victoria,$640 per week,"205/2 McCutcheon Street,",NORTHCOTE VIC 3070,2 Beds,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Thea Toogood,Jellis Craig & Company Pty Ltd,$450.00,"12/14 May Road,",TOORAK VIC 3142,1 Bed,1 Bath,1 Parking,,melbourne-vic
Daniel Hamilton,McGrath,$525 pw,"5/95 Osborne Street,",SOUTH YARRA VIC 3141,1 Bed,1 Bath,1 Parking,,melbourne-vic
Lynn Xu,Buxton Ashburton,$595.00,"615 Waverley Road,",MALVERN EAST VIC 3145,3 Beds,1 Bath,2 Parking,,melbourne-vic
Tom Koller,Biggin & Scott Stonnington,$675 Per Week,"601/15 Clifton Street,",PRAHRAN VIC 3181,2 Beds,1 Bath,− Parking,,melbourne-vic
Zoe Swinnerton,Gary Peer,$385 weekly,"9/60 Mimosa Road,",CARNEGIE VIC 3163,1 Bed,1 Bath,1 Parking,,melbourne-vic
Conny Yang,Waterdale Property Agent Pty Ltd,$550 per Week,"1710/65 Dudley Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Daniel Hamilton,McGrath,Contact Agent,"5/23-25 Raleigh Street,",MALVERN VIC 3144,2 Beds,1 Bath,1 Parking,,melbourne-vic
Renee Whitehouse,Harris Property - Melbourne,$750 weekly,"504/627 Victoria St,",ABBOTSFORD VIC 3067,2 Beds,2 Baths,1 Parking,,melbourne-vic
Cameron  Gibson,Buxton Stonnington,$780.00,"611/1 Roy Street,",MELBOURNE VIC 3004,2 Beds,2 Baths,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Lauren Jackson,Belle Property Glen Iris,$600 per week,"3/36 Paxton Street,",MALVERN EAST VIC 3145,2 Beds,1 Bath,1 Parking,,melbourne-vic
Lorena Lore,GBE Property Investments,$600,"1607/27 Little Collins Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic
Conny Yang,Waterdale Property Agent Pty Ltd,$700 per Week,"404/65 Dudley Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,melbourne-vic
Jasmine Palioportas,Buxton Camberwell,$595.00,"31 Leopold Street,",BURWOOD VIC 3125,3 Beds,1 Bath,2 Parking,,melbourne-vic
Jade Sterland,Jellis Craig Port Phillip Pty Ltd,$850.00 per week,"37 Armstrong Street,",MIDDLE PARK VIC 3206,3 Beds,1 Bath,− Parking,,melbourne-vic
Oscar Sturm,Jellis Craig & Company Pty Ltd,$800.00,"604/657 Chapel Street,",SOUTH YARRA VIC 3141,3 Beds,2 Baths,1 Parking,,melbourne-vic
Neil Harris,Marshall White Port Phillip,$690.00,"3303/180 City Road,",SOUTHBANK VIC 3006,2 Beds,1 Bath,1 Parking,,melbourne-vic
Dragan Mrkela,Biggin Scott Elsternwick,$550 per week,"28/2 Gordon Street,",ELSTERNWICK VIC 3185,1 Bed,1 Bath,1 Parking,,melbourne-vic
Tina Kelly,Chisholm & Gamon Elwood,$560 weekly,"310/126 Chapel Street,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,melbourne-vic
Kerttu  Luik,Buxton St Kilda,"$1,590.00","164 Bank Street,",SOUTH MELBOURNE VIC 3205,4 Beds,2 Baths,1 Parking,,melbourne-vic
Lynn Xu,Buxton Ashburton,$690.00,"2/71 Kirkwood Road,",SEAFORD VIC 3198,3 Beds,2 Baths,2 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Karen Pearce,Thomson,$490 per week,"2/30 Westbury Street,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,1 Parking,,melbourne-vic
Michelle Murray,Buxton Real Estate Brighton,"$3,450.00","145 Male Street,",BRIGHTON VIC 3186,4 Beds,3 Baths,3 Parking,,melbourne-vic
Oscar Sturm,Jellis Craig & Company Pty Ltd,$750.00,"5/406 Malvern Road,",MALVERN EAST VIC 3145,3 Beds,2 Baths,2 Parking,,melbourne-vic
Veronica Coco,Buxton Bentleigh Rentals,$520.00,"15/22 Allison Road,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,,melbourne-vic
