Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
Tom Koller,Biggin & Scott Stonnington,$750 Per Week,"1/1 York Place,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.8613,145.03776
Angus Brayshaw,Richardson & Wrench Projects Victoria,$700 per week,"5/380 Saint Georges Road,",FITZROY NORTH VIC 3068,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.0,145.0
Angus Brayshaw,Richardson & Wrench Projects Victoria,$640 per week,"205/2 McCutcheon Street,",NORTHCOTE VIC 3070,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.0,145.0
Thea Toogood,Jellis Craig & Company Pty Ltd,$450.00,"12/14 May Road,",TOORAK VIC 3142,1 Bed,1 Bath,1 Parking,,melbourne-vic,,
Daniel Hamilton,McGrath,$525 pw,"5/95 Osborne Street,",SOUTH YARRA VIC 3141,1 Bed,1 Bath,1 Parking,,melbourne-vic,62.95639,-155.59583
Lynn Xu,Buxton Ashburton,$595.00,"615 Waverley Road,",MALVERN EAST VIC 3145,3 Beds,1 Bath,2 Parking,,melbourne-vic,-37.86259,145.07936
Tom Koller,Biggin & Scott Stonnington,$675 Per Week,"601/15 Clifton Street,",PRAHRAN VIC 3181,2 Beds,1 Bath,− Parking,,melbourne-vic,-37.8613,145.03776
Zoe Swinnerton,Gary Peer,$385 weekly,"9/60 Mimosa Road,",CARNEGIE VIC 3163,1 Bed,1 Bath,1 Parking,,melbourne-vic,51.1303,5.45952
Conny Yang,Waterdale Property Agent Pty Ltd,$550 per Week,"1710/65 Dudley Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,,melbourne-vic,,
Daniel Hamilton,McGrath,Contact Agent,"5/23-25 Raleigh Street,",MALVERN VIC 3144,2 Beds,1 Bath,1 Parking,,melbourne-vic,62.95639,-155.59583
Renee Whitehouse,Harris Property - Melbourne,$750 weekly,"504/627 Victoria St,",ABBOTSFORD VIC 3067,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.814,144.96332
