Agent Name,Agent Company,price,Address Line 1,Address Line 2,bed,bath,parking,floor_space,region,latitude,longitude
Kim Te,Motion Property,480.0,"104A/2A Duffy Street,",ESSENDON NORTH VIC 3041,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7133,144.8969
Queanbeyan Property Management,Blackshaw Queanbeyan & Jerrabomberra,590.0,"226/7 Irving Street,",PHILLIP ACT 2606,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3396914,149.0842859
Tim Miosge,Cream Residential,400.0,"11b/30 Launceston Street,",LYONS ACT 2606,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3398343,149.0820314
,,1050.0,"30 Downes Place,",HUGHES ACT 2605,4.0,3.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3305307,149.1020684
Tim Miosge,Cream Residential,680.0,"74 Launceston Street,",LYONS ACT 2606,3.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3398343,149.0820314
Andrew D'Aprano,NICOLE GERVASI PROPERTY GROUP,500.0,"313/8 Webb Road,",AIRPORT WEST VIC 3042,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7159629,144.8896322
Paul Kerin,EnVogue Property Management,625.0,"5/88 Julia Flynn Avenue,",ISAACS ACT 2607,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3643084,149.1106254
Paul Kerin,EnVogue Property Management,600.0,"56/26 Marie Little Crescent,",DENMAN PROSPECT ACT 2611,2.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.302295,149.0322341
Bernadette Clayton,Belle Property Hunter Region,480.0,"15 Armidale Street,",ABERMAIN NSW 2326,2.0,1.0,,,latrobe-valley-vicwangaratta-vic,-32.8058546,151.4252653
Kimberly Castle,AM Property Agency,400.0,"609/220 Melrose Drive,",PHILLIP ACT 2606,1.0,1.0,,,latrobe-valley-vicwangaratta-vic,-35.3368413,149.0858351
Property Management,Blackshaw Woden,740.0,"9/11 Castan Street,",COOMBS ACT 2611,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.317628,149.0425744
Daniel Hatchuel,Performance Asset Management Melbourne,900.0,"58 Argyle Street,",MOONEE PONDS VIC 3039,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-37.7679089,144.9071296
HomeGround Enquiries,HomeGround Real Estate Canberra,800.0,"15 Shepherd Street,",PEARCE ACT 2607,4.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3621994,149.0825945
Leasing Team,LJ Hooker Belconnen,460.0,"2013/120 Eastern Valley Way,",BELCONNEN ACT 2617,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.2199,149.0869
